ID,Parameter_ID,Name,Description
ncases-0,ncases,0,
ncases-1,ncases,1,
ncases-2,ncases,2,
ncases-3,ncases,3,
ncases-4,ncases,4,
ncases-5,ncases,5,
ncases-6,ncases,6,
ncases-7,ncases,7,
ncases-8,ncases,8,
ncases-na,ncases,NA,
nclass-0,nclass,0,
nclass-1,nclass,1,
nclass-2,nclass,2,
nclass-3,nclass,3,
nclass-na,nclass,NA,
nnumber-0,nnumber,0,
nnumber-1,nnumber,1,
nnumber-2,nnumber,2,
nnumber-3,nnumber,3,
nnumber-na,nnumber,NA,
int-yes,int,yes,
int-related,int,related,
int-relatedmaybe,int,relatedmaybe,
int-no,int,no,
int-na,int,NA,
origin-kworl,origin,KW or L,
origin-kw,origin,KW,
origin-kwyo,origin,KW+YO,
origin-na,origin,NA,
origin-yo,origin,YO,
origin-to,origin,TO,
origin-one,origin,ONE,
origin-kwto,origin,KW+TO,
origin-yokw,origin,YO+KW,
origin-tokw,origin,TO+KW,
origin-l,origin,L,
origin-toyo,origin,TO+YO,
comp-yes,comp,yes,
comp-no,comp,no,
comp-na,comp,NA,
genre-spoken,genre,spoken,
genre-written,genre,written,
genre-both,genre,both,
