ID,Construction_ID,Parameter_ID,Code_ID,Value,Comment
1-rmform,1,rmform,,që,që might also be a Latin loanword
1-ncases,1,ncases,ncases-0,0,
1-nclass,1,nclass,nclass-0,0,
1-nnumber,1,nnumber,nnumber-0,0,
1-int,1,int,int-relatedmaybe,relatedmaybe,
1-origin,1,origin,origin-kworl,KW or L,
1-comp,1,comp,comp-yes,yes,
1-genre,1,genre,genre-spoken,spoken,
2-rmform,2,rmform,,i cili ~ e cila,
2-ncases,2,ncases,ncases-3,3,
2-nclass,2,nclass,nclass-2,2,
2-nnumber,2,nnumber,nnumber-2,2,
2-int,2,int,int-yes,yes,
2-origin,2,origin,origin-kw,KW,
2-comp,2,comp,comp-no,no,
2-genre,2,genre,genre-written,written,
3-rmform,3,rmform,,që,që might also be a Latin loanword
3-ncases,3,ncases,ncases-0,0,
3-nclass,3,nclass,nclass-0,0,
3-nnumber,3,nnumber,nnumber-0,0,
3-int,3,int,int-relatedmaybe,relatedmaybe,
3-origin,3,origin,origin-kworl,KW or L,
3-comp,3,comp,comp-yes,yes,
3-genre,3,genre,genre-spoken,spoken,
4-rmform,4,rmform,,i cili ~ e cila,
4-ncases,4,ncases,ncases-3,3,
4-nclass,4,nclass,nclass-2,2,
4-nnumber,4,nnumber,nnumber-2,2,
4-int,4,int,int-yes,yes,
4-origin,4,origin,origin-kw,KW,
4-comp,4,comp,comp-no,no,
4-genre,4,genre,genre-written,written,
5-rmform,5,rmform,,kuiš ~ kuit,
5-ncases,5,ncases,ncases-5,5,
5-nclass,5,nclass,nclass-2,2,
5-nnumber,5,nnumber,nnumber-2,2,
5-int,5,int,int-yes,yes,
5-origin,5,origin,origin-kw,KW,
5-comp,5,comp,comp-yes,yes,
5-genre,5,genre,genre-written,written,
6-rmform,6,rmform,,kuīš ~ kui,"maybe also used as comp., but unknown so far"
6-ncases,6,ncases,ncases-4,4,
6-nclass,6,nclass,nclass-2,2,
6-nnumber,6,nnumber,nnumber-2,2,
6-int,6,int,int-yes,yes,
6-origin,6,origin,origin-kw,KW,
6-comp,6,comp,comp-na,NA,
6-genre,6,genre,genre-written,written,
7-rmform,7,rmform,,kwi:s ~ kwadi,
7-ncases,7,ncases,ncases-4,4,
7-nclass,7,nclass,nclass-2,2,
7-nnumber,7,nnumber,nnumber-2,2,
7-int,7,int,int-yes,yes,
7-origin,7,origin,origin-kw,KW,
7-comp,7,comp,comp-na,NA,
7-genre,7,genre,genre-written,written,
8-rmform,8,rmform,,or,could be from YO or KW
8-ncases,8,ncases,ncases-5,5,
8-nclass,8,nclass,nclass-0,0,
8-nnumber,8,nnumber,nnumber-2,2,
8-int,8,int,int-yes,yes,
8-origin,8,origin,origin-na,NA,
8-comp,8,comp,comp-no,no,
8-genre,8,genre,genre-written,written,
9-rmform,9,rmform,,or,could be from YO or KW
9-ncases,9,ncases,ncases-5,5,
9-nclass,9,nclass,nclass-0,0,
9-nnumber,9,nnumber,nnumber-2,2,
9-int,9,int,int-yes,yes,
9-origin,9,origin,origin-na,NA,
9-comp,9,comp,comp-yes,yes,
9-genre,9,genre,genre-both,both,
10-rmform,10,rmform,,inč,"rare, could be from YO or KW"
10-ncases,10,ncases,ncases-5,5,
10-nclass,10,nclass,nclass-0,0,
10-nnumber,10,nnumber,nnumber-0,0,
10-int,10,int,int-yes,yes,
10-origin,10,origin,origin-na,NA,
10-comp,10,comp,comp-yes,yes,
10-genre,10,genre,genre-both,both,
11-rmform,11,rmform,,kas,
11-ncases,11,ncases,ncases-4,4,
11-nclass,11,nclass,nclass-3,3,
11-nnumber,11,nnumber,nnumber-2,2,
11-int,11,int,int-yes,yes,
11-origin,11,origin,origin-kwyo,KW+YO,
11-comp,11,comp,comp-na,NA,
11-genre,11,genre,genre-written,written,
12-rmform,12,rmform,,kurš,
12-ncases,12,ncases,ncases-4,4,
12-nclass,12,nclass,nclass-3,3,
12-nnumber,12,nnumber,nnumber-2,2,
12-int,12,int,int-yes,yes,
12-origin,12,origin,origin-na,NA,
12-comp,12,comp,comp-na,NA,
12-genre,12,genre,genre-written,written,
13-rmform,13,rmform,,kas,comp. is related though
13-ncases,13,ncases,ncases-7,7,
13-nclass,13,nclass,nclass-0,0,
13-nnumber,13,nnumber,nnumber-0,0,
13-int,13,int,int-yes,yes,
13-origin,13,origin,origin-kwyo,KW+YO,
13-comp,13,comp,comp-no,no,
13-genre,13,genre,genre-written,written,
14-rmform,14,rmform,,kàs ,
14-ncases,14,ncases,ncases-6,6,
14-nclass,14,nclass,nclass-0,0,
14-nnumber,14,nnumber,nnumber-0,0,
14-int,14,int,int-yes,yes,
14-origin,14,origin,origin-kwyo,KW+YO,
14-comp,14,comp,comp-no,no,
14-genre,14,genre,genre-both,both,
15-rmform,15,rmform,,kurìs ~ kurì,
15-ncases,15,ncases,ncases-6,6,
15-nclass,15,nclass,nclass-2,2,
15-nnumber,15,nnumber,nnumber-2,2,
15-int,15,int,int-yes,yes,
15-origin,15,origin,origin-na,NA,
15-comp,15,comp,comp-no,no,
15-genre,15,genre,genre-both,both,
16-rmform,16,rmform,,kas,comp. ka might be related
16-ncases,16,ncases,ncases-5,5,
16-nclass,16,nclass,nclass-0,0,
16-nnumber,16,nnumber,nnumber-0,0,
16-int,16,int,int-yes,yes,
16-origin,16,origin,origin-kwyo,KW+YO,
16-comp,16,comp,comp-no,no,
16-genre,16,genre,genre-both,both,
17-rmform,17,rmform,,kurš ~ kurša,
17-ncases,17,ncases,ncases-5,5,
17-nclass,17,nclass,nclass-2,2,
17-nnumber,17,nnumber,nnumber-2,2,
17-int,17,int,int-yes,yes,
17-origin,17,origin,origin-na,NA,
17-comp,17,comp,comp-no,no,
17-genre,17,genre,genre-both,both,
18-rmform,18,rmform,,iže ~ yaže ~ yeže,"latter part is a particle, also used for the comp. ō-ze"
18-ncases,18,ncases,ncases-6,6,
18-nclass,18,nclass,nclass-3,3,
18-nnumber,18,nnumber,nnumber-3,3,
18-int,18,int,int-no,no,
18-origin,18,origin,origin-yo,YO,
18-comp,18,comp,comp-no,no,
18-genre,18,genre,genre-written,written,
19-rmform,19,rmform,,čto,
19-ncases,19,ncases,ncases-0,0,
19-nclass,19,nclass,nclass-0,0,
19-nnumber,19,nnumber,nnumber-0,0,
19-int,19,int,int-yes,yes,
19-origin,19,origin,origin-kw,KW,
19-comp,19,comp,comp-yes,yes,
19-genre,19,genre,genre-spoken,spoken,
20-rmform,20,rmform,,kotoryj ~ kotoraja ~ kotoroe ,
20-ncases,20,ncases,ncases-5,5,
20-nclass,20,nclass,nclass-3,3,
20-nnumber,20,nnumber,nnumber-2,2,
20-int,20,int,int-yes,yes,
20-origin,20,origin,origin-kw,KW,
20-comp,20,comp,comp-no,no,
20-genre,20,genre,genre-both,both,
21-rmform,21,rmform,,iže ~ ježe ~ jaže,
21-ncases,21,ncases,ncases-6,6,
21-nclass,21,nclass,nclass-3,3,
21-nnumber,21,nnumber,nnumber-3,3,
21-int,21,int,int-no,no,
21-origin,21,origin,origin-yo,YO,
