ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment
1,gheg1238,që,,,,,
2,gheg1238,i cili ~ e cila,,,,,
3,tosk1239,që,,,,,
4,tosk1239,i cili ~ e cila,,,,,
5,hitt1242,kuiš ~ kuit,,,,,
6,cune1239,kuīš ~ kui,,,,,
7,hier1240,kwi:s ~ kwadi,,,,,
8,clas1249,or,,,,,
9,nucl1235,or,,,,,
10,nucl1235,inč,,,,,
11,prus1238,kas,,,,,
12,prus1238,kurš,,,,,
13,oldl1240,kas,,,,,
14,lith1251,kàs ,,,,,
15,lith1251,kurìs ~ kurì,,,,,
16,latv1249,kas,,,,,
17,latv1249,kurš ~ kurša,,,,,
18,oldr1238,iže ~ yaže ~ yeže,,,,,
19,russ1263,čto,,,,,
20,russ1263,kotoryj ~ kotoraja ~ kotoroe ,,,,,
21,chur1257,iže ~ ježe ~ jaže,,,,,
22,bulg1262,deto,,,,,
23,bulg1262,kojto ~ kojato ~ koeto,,,,,
24,sout1528,koji ~ koja ~ koje,,,,,
25,sout1528,što/šta ,,,,,
26,slov1268,ki,,,,,
27,slov1268,katěri ~ katéra ~ katére ,,,,,
28,czec1258,který ~ která ~ které,,,,,
29,czec1258,co,,,,,
30,czec1258,jenž ~ jenže,,,,,
31,poli1260,który ~ która ~ które,,,,,
32,poli1260,jaki ~ jaka ~ jakie,,,,,
33,poli1260,co,,,,,
34,uppe1395,štož ~ štóž,,,,,
35,uppe1395,kotryž,,,,,
36,tran1282,io,,,,,
37,wels1247,a ~ y,,,,,
38,wels1247,lle ~ pryd ~ pam,,,,,
39,oldi1245,-,,,,,
40,iris1253,a,,,,,
41,goth1244,izei ~ sei,,,,,
42,goth1244,ei ~ þei,,,,,
43,goth1244,sa-ei ~ þat-ei ~ sō-ei,,,,,
44,oldn1244,er ~ sem,,,,,
45,swed1254,som,,,,,
46,swed1254,vars ~ vilkas,,,,,
47,swed1254,vilken ~ vilket,,,,,
48,norw1258,som,,,,,
49,norw1258,hvem ~ hva ~ hvilket,,,,,
50,afri1274,wat ~ wie,,,,,
51,afri1274,waar,,,,,
52,afri1274,welke,,,,,
53,dutc1256,die ~ dat,,,,,
54,dutc1256,wie,,,,,
55,luxe1241,wou ~ wat,,,,,
56,luxe1241,deen ~ dat ~ déi,,,,,
57,stan1295,der ~ die ~ das,,,,,
58,stan1295,wo ~ wie ~ warum,,,,,
59,oldh1241,der ~ daz ~ diu,,,,,
60,midd1343,der ~ diu ~ daz,,,,,
61,midd1343,dâ ~ dar ~ dannen,,,,,
62,midd1343,so ~ und,,,,,
63,swis1247,wo,,,,,
64,west2361,vos,,,,,
65,west2361,velken,,,,,
66,olds1250,the ~ thiu ~ that,,,,,
67,olde1238,se ~ þæt ~ seo,,,,,
68,olde1238,þe,,,,,
69,midd1317,wich þat ~ who þat,,,,,
70,midd1317,þat,,,,,
71,stan1293,that,,,,,
72,stan1293,who ~ what ~ which,,,,,
73,oldf1241,thī ~ thiu ~ thet,,,,,
74,oldf1241,thēr,,,,,
75,east2288,däi,,,,,
76,nort2626,dit,,,,,
77,nort2626,wat,,,,,
78,nort2626,hur,,,,,
79,nort2626,diar,,,,,
80,anci1242,hos ~ hē ~ ho,,,,,
84,mode1248,pou,,,,,
85,mode1248,o opoios ~ i opoia ~ to opoio,,,,,
86,sans1269,yáḥ ~ yā́ ~ yát,,,,,
87,pali1273,yo ~ ya ~ yaṃ,,,,,
88,mait1250,je,,,,,
89,doma1258,illi,,,,,
90,hind1269,jo,,,,,
91,vlax1238,kaj,,,,,
92,midd1350,yo,,,,,
93,sinh1246,NA,,,,,
94,beng1280,ye(-) ~ ya(-),,,,,
95,oriy1255,je ~ jaha,,,,,
96,nepa1254,jo ~ je,,,,,
97,dame1241,ki ~ kyaa,,,,,
98,sind1272,jo ~ jā,,,,,
99,kash1277,yus ~ yɔsɪ ~ yi,,,,,
100,oldm1244,yo ~ ye ~ yeṃ,,,,,
101,mara1378,jo ~ ji ~ je,,,,,
102,goan1235,jo,,,,,
103,goan1235,khanco,,,,,
104,aves1237,hiiat̰ ~ yat̰,,,,,
105,wakh1245,tsə(y),,,,,
106,wakh1245,ki,,,,,
107,part1239,kē,,,,,
108,khwa1238,ki ~ ci,,,,,
109,sogd1245,ke,,,,,
110,sogd1245,ču,,,,,
111,nort2641,ku,,,,,
112,diml1238,ki,,,,,
113,gila1241,ki ~ či,,,,,
114,osse1243,či/cy ~ ka/ci,,,,,
115,balo1260,ki,,,,,
116,taly1247,ki ~ ke,,,,,
117,para1299,če,,,,,
118,nucl1276,čǝ,,,,,
119,khot1251,kye/i ~ ce/i ~ cu,,,,,
