ID,Glottocode,Language,Branch,Subbranch,Subsubbranch,EarlyTimeBP,LateTimeBP,AvTimeBP,RMform,NCases,NClass,NNumber,INT,Origin,COMP,DEM,Genre,Notes,Thanks,Latitude,Longitude
1,gheg1238,Gheg Albanian,Albanian,Gheg,,0,0,0,që,0,0,0,(related),KW or L,yes,no,spoken,që might also be a Latin loanword,,42.317,21.3837
2,gheg1238,Gheg Albanian,Albanian,Gheg,,0,0,0,i cili ~ e cila,3,2,2,yes,KW,no,no,written,,,42.317,21.3837
3,tosk1239,Tosk Albanian,Albanian,Tosk,,0,0,0,që,0,0,0,(related),KW or L,yes,no,spoken,që might also be a Latin loanword,,41,20
4,tosk1239,Tosk Albanian,Albanian,Tosk,,0,0,0,i cili ~ e cila,3,2,2,yes,KW,no,no,written,,,41,20
5,hitt1242,Hittite,Anatolian,,,3715,3215,3465,kuiš ~ kuit,5,2,2,yes,KW,yes,no,written,,"Michael Erlach, H. Craig Melchert",39.31,33.96
6,cune1239,Cuneiform Luwian,Anatolian,Luvic,,3665,3215,3440,kuīš ~ kui,4,2,2,yes,KW,NA,no,written,"maybe also used as comp., but unknown so far","Michael Erlach, H. Craig Melchert",38.4,36.98
7,hier1240,Hieroglyphic Luwian,Anatolian,Luvic,,3115,2715,2915,kwi:s ~ kwadi,4,2,2,yes,KW,NA,no,written,,"Michael Erlach, H. Craig Melchert",38.4,36.98
8,clas1249,Classical Armenian,Armenian,,,1615,215,915,or,5,0,2,yes,NA,no,no,written,could be from YO or KW,,42,42
9,nucl1235,Eastern Armenian,Armenian,Eastern-Western Armenian,,0,0,0,or,5,0,2,yes,NA,yes,no,both,could be from YO or KW,,40,45
10,nucl1235,Eastern Armenian,Armenian,Eastern-Western Armenian,,0,0,0,inč,5,0,0,yes,NA,yes,no,both,"rare, could be from YO or KW",,40,45
11,prus1238,Old Prussian,Balto-Slavic,Baltic,,646,315,481,kas,4,3,2,yes,KW+YO,NA,no,written,,,52.39,14.76
12,prus1238,Old Prussian,Balto-Slavic,Baltic,,646,315,481,kurš,4,3,2,yes,NA,NA,no,written,,,52.39,14.76
13,oldl1240,Old Lithuanian,Balto-Slavic,Baltic,Eastern Baltic,515,315,415,kas,7,0,0,yes,KW+YO,no,no,written,comp. is related though,Florian Sommer,56,25
14,lith1251,Lithuanian,Balto-Slavic,Baltic,Eastern Baltic,0,0,0,kàs ,6,0,0,yes,KW+YO,no,no,both,,Florian Sommer,55.1429,23.9601
15,lith1251,Lithuanian,Balto-Slavic,Baltic,Eastern Baltic,0,0,0,kurìs ~ kurì,6,2,2,yes,NA,no,no,both,,,55.1429,23.9601
16,latv1249,Latvian,Balto-Slavic,Baltic,Eastern Baltic,0,0,0,kas,5,0,0,yes,KW+YO,no,no,both,comp. ka might be related,Florian Sommer,56.826108,24.309118
17,latv1249,Latvian,Balto-Slavic,Baltic,Eastern Baltic,0,0,0,kurš ~ kurša,5,2,2,yes,NA,no,no,both,,,56.826108,24.309118
18,oldr1238,Old East Slavic,Balto-Slavic,Slavic,East Slavic,1115,515,815,iže ~ yaže ~ yeže,6,3,3,no,YO,no,yes,written,"latter part is a particle, also used for the comp. ō-ze",,60,49
19,russ1263,Russian,Balto-Slavic,Slavic,East Slavic,0,0,0,čto,0,0,0,yes,KW,yes,no,spoken,,,59,50
20,russ1263,Russian,Balto-Slavic,Slavic,East Slavic,0,0,0,kotoryj ~ kotoraja ~ kotoroe ,5,3,2,yes,KW,no,no,both,,,59,50
21,chur1257,Old Church Slavic,Balto-Slavic,Slavic,South Slavic,1215,915,1065,iže ~ ježe ~ jaže,6,3,3,no,YO,no,no,written,,,43.7171,22.8442
22,bulg1262,Bulgarian,Balto-Slavic,Slavic,South Slavic,0,0,0,deto,0,0,0,related,KW,yes,no,spoken,,,43.3646,25.047
23,bulg1262,Bulgarian,Balto-Slavic,Slavic,South Slavic,0,0,0,kojto ~ kojato ~ koeto,3,3,2,related,KW,no,no,both,,,43.3646,25.047
24,sout1528,Serbian-Croatian-Bosnian,Balto-Slavic,Slavic,South Slavic,0,0,0,koji ~ koja ~ koje,4,3,2,yes,KW,no,no,spoken,,,44.3238,21.9192
25,sout1528,Serbian-Croatian-Bosnian,Balto-Slavic,Slavic,South Slavic,0,0,0,što/šta ,0,0,0,yes,KW,yes,no,spoken,,,44.3238,21.9192
26,slov1268,Slovenian,Balto-Slavic,Slavic,South Slavic,0,0,0,ki,0,0,0,no,NA,no,no,spoken,,,46.2543,14.7766
27,slov1268,Slovenian,Balto-Slavic,Slavic,South Slavic,0,0,0,katěri ~ katéra ~ katére ,5,3,3,yes,KW,no,no,spoken,,,46.2543,14.7766
28,czec1258,Czech,Balto-Slavic,Slavic,West Slavic,0,0,0,který ~ která ~ které,6,3,2,yes,KW,no,no,both,,,49.873398,15.10437
29,czec1258,Czech,Balto-Slavic,Slavic,West Slavic,0,0,0,co,0,0,0,yes,KW,yes,no,spoken,,,49.873398,15.10437
30,czec1258,Czech,Balto-Slavic,Slavic,West Slavic,0,0,0,jenž ~ jenže,6,3,2,no,YO,no,no,written,,,49.873398,15.10437
31,poli1260,Polish,Balto-Slavic,Slavic,West Slavic,0,0,0,który ~ która ~ które,4,3,2,yes,KW,no,no,both,,,51.8439,18.6255
32,poli1260,Polish,Balto-Slavic,Slavic,West Slavic,0,0,0,jaki ~ jaka ~ jakie,4,3,2,yes,NA,no,no,both,,,51.84,18.63
33,poli1260,Polish,Balto-Slavic,Slavic,West Slavic,0,0,0,co,0,0,0,yes,KW,no,no,spoken,,,51.8439,18.6255
34,uppe1395,Upper Sorbian,Balto-Slavic,Slavic,West Slavic,0,0,0,štož ~ štóž,4,2,2,yes,KW,no,no,both,,,51.2403,14.4098
35,uppe1395,Upper Sorbian,Balto-Slavic,Slavic,West Slavic,0,0,0,kotryž,4,3,2,yes,KW,no,no,both,,,51.2403,14.4098
36,tran1282,Transalpine Gaulish,Celtic,,,2315,1515,1915,io,0,0,0,no,YO,NA,NA,written,interrogatives are not attested but they never go back to yo in IE,,,
37,wels1247,Welsh,Celtic,Insular Celtic,Brythonic,0,0,0,a ~ y,2,0,0,no,NA,no,no,spoken,special verb inflection,,52,-4
38,wels1247,Welsh,Celtic,Insular Celtic,Brythonic,0,0,0,lle ~ pryd ~ pam,0,0,0,yes,NA,no,no,spoken,"expressions of time, space, reason",,52,-4
39,oldi1245,Old Irish,Celtic,Insular Celtic,Goidelic,1515,1015,1265,-,0,0,0,no,NA,NA,no,written,,,54,-8
40,iris1253,Irish,Celtic,Insular Celtic,Goidelic,0,0,0,a,0,0,0,no,NA,no,no,spoken,,,53.2186,-7.61509
41,goth1244,Gothic,Germanic,East Germanic,,1815,1015,1415,izei ~ sei,0,0,0,no,NA,no,no,written,this is underlyingly a personal pronoun with -ei,,46.9304,29.9786
42,goth1244,Gothic,Germanic,East Germanic,,1815,1015,1415,ei ~ þei,0,0,0,no,NA,yes,no,written,this is the complementizer,,46.9304,29.9786
43,goth1244,Gothic,Germanic,East Germanic,,1815,1015,1415,sa-ei ~ þat-ei ~ sō-ei,4,3,2,no,TO,no,yes,written,this is the demonstrative plus a complementizer,,46.9304,29.9786
44,oldn1244,Old Norse,Germanic,North Germanic,West Scandinavian,1315,715,1015,er ~ sem,0,0,0,no,ONE,no,no,written,,,55.53,11.78
45,swed1254,Swedish,Germanic,North Germanic,North Scandinavian,0,0,0,som,0,0,0,no,ONE,no,no,spoken,,,59.800634,17.389526
46,swed1254,Swedish,Germanic,North Germanic,North Scandinavian,0,0,0,vars ~ vilkas,0,0,2,yes,KW,no,no,written,,,59.800634,17.389526
